LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,10.53559,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,10.88267,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,10.40148,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,9.84329,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,9.36117,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,9.20277,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,8.53581,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,8.52437,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,15.36477,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,15.67401,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,14.50341,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,14.28511,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,13.53498,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,13.59913,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,12.65744,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,12.68774,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,16.22427,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,16.01357,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,14.93425,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,14.29062,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,13.44477,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,13.79065,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,13.06322,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,13.09935,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,8.37601,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,8.57013,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,8.10123,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,7.75003,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,7.30653,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,7.17206,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,6.48028,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,6.45931,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,20.77924,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,20.2512,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,18.79705,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,18.31878,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,17.53825,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,17.64812,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,16.21703,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,16.21481,
Denmark,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,12.30225,
Denmark,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,12.95704,
Denmark,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,11.38229,
Denmark,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,11.02389,
Denmark,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,11.32302,
Denmark,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,10.88294,
Denmark,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,10.35071,
Denmark,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,10.35431,
Finland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,7.28899,
Finland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,7.39376,
Finland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,6.71052,
Finland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,6.3459,
Finland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,6.57508,
Finland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,6.08473,
Finland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,5.94186,
Finland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,5.90603,
France,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,14.84296,
France,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,15.09754,
France,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,14.00249,
France,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,13.69998,
France,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,12.56274,
France,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,12.82713,
France,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,11.9765,
France,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,11.95962,
Germany,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,15.38112,
Germany,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,14.9885,
Germany,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,13.77974,
Germany,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,13.34938,
Germany,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,12.95331,
Germany,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,12.97559,
Germany,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,12.08735,
Germany,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,12.08939,
Greece,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,19.13968,
Greece,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,20.05871,
Greece,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,18.60477,
Greece,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,17.75888,
Greece,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,17.5534,
Greece,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,17.60409,
Greece,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,16.36196,
Greece,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,16.47663,
Hungary,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,19.50528,
Hungary,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,19.71477,
Hungary,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,17.75631,
Hungary,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,17.38891,
Hungary,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,16.50801,
Hungary,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,17.39666,
Hungary,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,16.06693,
Hungary,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,16.08462,
Iceland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,8.21186,
Iceland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,8.45311,
Iceland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,7.73023,
Iceland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,7.57365,
Iceland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,7.20954,
Iceland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,7.21924,
Iceland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,6.80928,
Iceland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,6.78283,
Ireland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,10.01998,
Ireland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,10.30893,
Ireland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,9.57135,
Ireland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,9.45431,
Ireland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,8.79914,
Ireland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,8.73556,
Ireland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,8.27768,
Ireland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,8.27177,
Italy,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,18.99694,
Italy,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,19.84583,
Italy,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,18.22088,
Italy,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,17.73271,
Italy,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,17.59491,
Italy,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,17.6811,
Italy,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,16.33775,
Italy,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,16.4971,
Japan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,14.40937,
Japan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,14.36904,
Japan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,13.36078,
Japan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,13.55745,
Japan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,12.77393,
Japan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,12.88608,
Japan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,11.79464,
Japan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,11.86181,
Korea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,30.0354,
Korea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,29.96,
Korea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,28.05809,
Korea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,29.30253,
Korea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,27.19911,
Korea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,28.05651,
Korea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,24.99773,
Korea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,25.13889,
Luxembourg,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,12.79199,
Luxembourg,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,12.58926,
Luxembourg,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,11.63394,
Luxembourg,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,11.45083,
Luxembourg,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,10.67315,
Luxembourg,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,10.87678,
Luxembourg,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,10.16439,
Luxembourg,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,10.17904,
Mexico,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,26.75453,
Mexico,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,28.21291,
Mexico,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,26.4369,
Mexico,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,25.79244,
Mexico,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,23.60891,
Mexico,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,22.58937,
Mexico,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,21.25683,
Mexico,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,21.23615,
Netherlands,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,15.07256,
Netherlands,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,15.00012,
Netherlands,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,13.78164,
Netherlands,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,13.04299,
Netherlands,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,12.73891,
Netherlands,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,12.87384,
Netherlands,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,12.07439,
Netherlands,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,12.08600,
New Zealand,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,7.25277,
New Zealand,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,7.51619,
New Zealand,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,6.94628,
New Zealand,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,6.79092,
New Zealand,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,6.43724,
New Zealand,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,6.39736,
New Zealand,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,6.02967,
New Zealand,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,5.99181,
Norway,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,8.49182,
Norway,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,8.99417,
Norway,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,8.04647,
Norway,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,7.74089,
Norway,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,7.78325,
Norway,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,7.33184,
Norway,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,7.05621,
Norway,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,7.0458,
Poland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,27.10558,
Poland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,26.15214,
Poland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,24.29708,
Poland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,23.22225,
Poland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,22.17074,
Poland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,22.69148,
Poland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,20.93642,
Poland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,20.94327,
Portugal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,10.05313,
Portugal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,10.35092,
Portugal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,9.41093,
Portugal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,9.33048,
Portugal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,8.7697,
Portugal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,8.8526,
Portugal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,8.07712,
Portugal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,8.12088,
Slovak Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,21.99084,
Slovak Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,22.01619,
Slovak Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,20.10268,
Slovak Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,19.75295,
Slovak Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,18.56035,
Slovak Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,19.16916,
Slovak Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,17.90478,
Slovak Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,17.93355,
Spain,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,11.72598,
Spain,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,12.29526,
Spain,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,11.43863,
Spain,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,10.98741,
Spain,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,10.27986,
Spain,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,10.67482,
Spain,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,9.89562,
Spain,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,9.91419,
Sweden,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,7.21877,
Sweden,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,7.45307,
Sweden,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,6.61322,
Sweden,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,6.4197,
Sweden,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,6.90825,
Sweden,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,6.28585,
Sweden,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,6.11175,
Sweden,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,6.13443,
Switzerland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,13.09833,
Switzerland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,13.29447,
Switzerland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,12.52265,
Switzerland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,12.04835,
Switzerland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,11.59223,
Switzerland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,11.35572,
Switzerland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,10.44713,
Switzerland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,10.44407,
United Kingdom,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,12.3034,
United Kingdom,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,12.84189,
United Kingdom,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,11.80623,
United Kingdom,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,11.60548,
United Kingdom,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,10.78696,
United Kingdom,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,10.73807,
United Kingdom,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,10.48657,
United Kingdom,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,10.44482,
United States,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,9.29297,
United States,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,9.66482,
United States,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,8.96083,
United States,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,8.67383,
United States,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,8.16956,
United States,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,8.01888,
United States,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,7.37633,
United States,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,7.36365,
Chile,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,27.19477,
Chile,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,28.59267,
Chile,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,26.24838,
Chile,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,25.4118,
Chile,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,23.99826,
Chile,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,23.72539,
Chile,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,22.16609,
Chile,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,22.13709,
Colombia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,21.80063,
Colombia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,21.52666,
Colombia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,21.14001,
Colombia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,20.04309,
Colombia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,18.84498,
Colombia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,17.95165,
Colombia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,16.9985,
Colombia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,16.91747,
Estonia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,8.64197,
Estonia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,8.51723,
Estonia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,7.96305,
Estonia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,7.54313,
Estonia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,7.73599,
Estonia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,7.09232,
Estonia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,6.88554,
Estonia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,6.84199,
Israel,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,23.78346,
Israel,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,23.65687,
Israel,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,22.81231,
Israel,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,22.70588,
Israel,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,21.84987,
Israel,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,22.27252,
Israel,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,20.62678,
Israel,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,20.8113,
Latvia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,17.91547,
Latvia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,17.35451,
Latvia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,16.37997,
Latvia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,15.5543,
Latvia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,15.70783,
Latvia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,14.68759,
Latvia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,14.23517,
Latvia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,14.10963,
Lithuania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,14.97421,
Lithuania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,14.54603,
Lithuania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,13.7674,
Lithuania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,13.01484,
Lithuania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,12.85851,
Lithuania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,12.49352,
Lithuania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,11.93642,
Lithuania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,11.90224,
Slovenia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,19.01400,
Slovenia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,19.86508,
Slovenia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,17.99879,
Slovenia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,17.82317,
Slovenia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,17.02368,
Slovenia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,17.52007,
Slovenia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,16.14072,
Slovenia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,16.25411,
